Type de Jeu,Nom du Jeu,Date Achat,Heure Achat,Enjeu (CHF),Résultat,Gains Totaux (CHF),Réf. externe,Réf. interne
e-Billets,Le Tresor des pyramides,29.10.2025,00:20:00,7,Perte,0,1242743533,ITG-1242743533-ITF
e-Billets,Le Tresor des pyramides,29.10.2025,00:18:00,7,Perte,0,1242742675,ITG-1242742675-ITF
e-Billets,Le Tresor des pyramides,29.10.2025,00:17:00,7,Perte,0,1242742211,ITG-1242742211-ITF
e-Billets,Le Tresor des pyramides,29.10.2025,00:16:00,7,Perte,0,1242741618,ITG-1242741618-ITF
e-Billets,Le Tresor des pyramides,29.10.2025,00:03:00,7,Gain,7,1242735005,ITG-1242735005-ITF
e-Billets,Le Tresor des pyramides,29.10.2025,00:01:00,7,Gain,7,1242734011,ITG-1242734011-ITF
e-Billets,Le Tresor des pyramides,28.10.2025,22:07:00,7,Perte,0,1242658325,ITG-1242658325-ITF
e-Billets,Le Tresor des pyramides,28.10.2025,22:06:00,7,Gain,7,1242657090,ITG-1242657090-ITF
e-Billets,Le Tresor des pyramides,28.10.2025,22:03:00,7,Gain,7,1242654652,ITG-1242654652-ITF
e-Billets,Le Tresor des pyramides,28.10.2025,22:02:00,7,Perte,0,1242653565,ITG-1242653565-ITF
e-Billets,Le Tresor des pyramides,28.10.2025,22:00:00,7,Gain,14,1242652135,ITG-1242652135-ITF
e-Billets,Le Tresor des pyramides,28.10.2025,21:59:00,7,Perte,0,1242650816,ITG-1242650816-ITF
e-Billets,Le Tresor des pyramides,28.10.2025,21:58:00,7,Perte,0,1242649867,ITG-1242649867-ITF
e-Billets,Le Tresor des pyramides,28.10.2025,21:56:00,7,Gain,7,1242648308,ITG-1242648308-ITF
e-Billets,Le Tresor des pyramides,28.10.2025,21:54:00,7,Gain,14,1242646469,ITG-1242646469-ITF
e-Billets,10'000 Surprises,28.10.2025,10:16:00,1,Perte,0,1242171612,ITG-1242171612-ITF
e-Billets,Le Tresor des pyramides,28.10.2025,10:15:00,7,Perte,0,1242170662,ITG-1242170662-ITF
e-Billets,Le Tresor des pyramides,28.10.2025,10:13:00,7,Perte,0,1242169949,ITG-1242169949-ITF
e-Billets,Le Tresor des pyramides,28.10.2025,10:12:00,7,Perte,0,1242169115,ITG-1242169115-ITF
e-Billets,Le Tresor des pyramides,28.10.2025,10:10:00,7,Perte,0,1242168332,ITG-1242168332-ITF
e-Billets,Le Tresor des pyramides,28.10.2025,10:09:00,7,Perte,0,1242167529,ITG-1242167529-ITF
e-Billets,Le Tresor des pyramides,28.10.2025,10:07:00,7,Gain,14,1242166634,ITG-1242166634-ITF
e-Billets,Le Tresor des pyramides,28.10.2025,10:06:00,7,Perte,0,1242165850,ITG-1242165850-ITF
